title,author,length,User-Agent
Tell-Tale Bones,Carolyn Haines,Length: 10 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
Resist,Ava Harrison,Length: 10 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
Automate Your Busywork,Aytekin Tank,Length: 6 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Complete Poppy War Trilogy,R. F. Kuang,Length: 66 hrs and 29 mins,Scrapy/2.9.0 (+https://scrapy.org)
Reading Price Charts Bar by Bar,Al Brooks,Length: 14 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
ARkStorm,Bobby Akart,Length: 7 hrs and 29 mins,Scrapy/2.9.0 (+https://scrapy.org)
Of Shadow and Moonlight,Luna Laurier,Length: 13 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Uzi in the Urn,Dale Mayer,Length: 6 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Bad Summer People,Emma Rosenblum,Length: 9 hrs and 23 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Greatest Song,Kevin Griffin,Length: 5 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
Strung,Per Jacobsen,Length: 5 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
State of Denial,Marie Force,Length: 9 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
Why Women Deserve Less,Myron Gaines,Length: 2 hrs and 3 mins,Scrapy/2.9.0 (+https://scrapy.org)
Cherish,Tracy Wolff,Length: 17 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
Chasing Love,Kat T. Masen,Length: 13 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dark Healing Blind Justice,I. T. Lucas,Length: 8 hrs and 39 mins,Scrapy/2.9.0 (+https://scrapy.org)
Do You Believe?,Paul David Tripp,Length: 20 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
Final Day,Richard D. Wiles,Length: 14 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
On His Majesty's Secret Service,Charlie Higson,Length: 4 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Strangest Forms,Gregory Ashe,Length: 11 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Gambler's Chase,Cap Daniels,Length: 8 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
Random in Death,J. D. Robb,Length: 10 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Worst Wedding Date,Pippa Grant,Length: 12 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
Meat Eater,Steven Rinella,Length: 7 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
Shadow Dance,Christine Feehan,Length: 11 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
Prince of the Sorrows,Kellen Graves,Length: 13 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
Way to the East,Kirill Klevanski,Length: 13 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Bucket List,Rachel Hanna,Length: 5 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
Letter Late than Never,Lauren Connolly,Length: 9 hrs and 20 mins,Scrapy/2.9.0 (+https://scrapy.org)
Contagion,"A. American,Walt Browning",Length: 11 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
Coach,Devney Perry,Length: 7 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Meet Me at the Lake,Carley Fortune,Length: 9 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Five-Star Weekend,Elin Hilderbrand,Length: 12 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
A Hypnotist’s Journey from the Trail to the Star People,Sarah Breskman Cosme,Length: 8 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
The New World,Monsoon117,Length: 24 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
Depp v Heard,Nick Wallis,Length: 11 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
How to Save the West,Spencer Klavan,Length: 6 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
The One for Me,Rachel Hanna,Length: 3 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
Look Up!,Jimmy Evans,Length: 8 hrs and 51 mins,Scrapy/2.9.0 (+https://scrapy.org)
Villain Era,Luna Pierce,Length: 12 hrs and 29 mins,Scrapy/2.9.0 (+https://scrapy.org)
Again,J.L. Seegars,Length: 5 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dead Fall,Brad Thor,Length: 10 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Summer We Fell,Elizabeth O'Roark,Length: 9 hrs and 11 mins,Scrapy/2.9.0 (+https://scrapy.org)
Fractal Noise,Christopher Paolini,Length: 9 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Highest Bidder,Sara Cate,Length: 10 hrs and 2 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Gargoyle's Captive,Katee Robert,Length: 6 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Bound Demon,"Doufu Mayoi,Taishi - translator",Length: 7 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
Covert Ops,Traci Hunter Abramson,Length: 7 hrs and 36 mins,Scrapy/2.9.0 (+https://scrapy.org)
Boss Without Benefits,Lili Valente,Length: 5 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Elemental Keyes,Sam Burns,Length: 7 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
Prepared,"Mike Glover,Jack Carr - foreword",Length: 5 hrs and 14 mins,Scrapy/2.9.0 (+https://scrapy.org)
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Murder of a Mermaid,Irina Shapiro,Length: 7 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Obstacle Is the Way,Ryan Holiday,Length: 4 hrs and 38 mins,Scrapy/2.9.0 (+https://scrapy.org)
Jungle World,B.V. Larson,Length: 13 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
Glucose Goddess Method,Jessie Inchauspe,Length: 3 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Disruptive Thinking,T. D. Jakes,Length: 8 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
The 23rd Midnight,"James Patterson,Maxine Paetro",Length: 8 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Icebreaker,Hannah Grace,Length: 13 hrs and 23 mins,Scrapy/2.9.0 (+https://scrapy.org)
Quantum Supremacy,Michio Kaku,Length: 10 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Gates of Yog-Sothoth,John Corwin,Length: 11 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
Scattered Minds,Gabor Maté MD,Length: 10 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
Tell Me Everything,Minka Kelly,Length: 8 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
8 Rules of Love,Jay Shetty,Length: 10 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
Does It Hurt?,H. D. Carlton,Length: 12 hrs and 7 mins,Scrapy/2.9.0 (+https://scrapy.org)
That Kind of Guy,Stephanie Archer,Length: 9 hrs and 23 mins,Scrapy/2.9.0 (+https://scrapy.org)
Defying Logic,Nicky James,Length: 12 hrs and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Postcard,"Anne Berest,Tina Kover - translator",Length: 13 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
Book of Economics and Finance Business,Chad Diegle,Length: 2 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
The City of Cutthroats,"Torsten Weitze,Tim Casey - translator",Length: 21 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
Body Check,J.J. Arias,Length: 9 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Edge of Steele,Susan Sleeman,Length: 9 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Contempt,A. Zavarelli,Length: 16 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ambrosius,Taylor Rylan,Length: 8 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Grace for Purpose Prayers,Hosiah Hope,Length: 7 hrs and 39 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Unwanted Marriage,Catharina Maura,Length: 11 hrs and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
Reforged,Seth Haddon,Length: 12 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins,Scrapy/2.9.0 (+https://scrapy.org)
Spiritual Activator,Oliver Nino,Length: 5 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
Inside the Devil's Nest,John Durgin,Length: 7 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
DMV,Bentley Little,Length: 13 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
The True Love Experiment,Christina Lauren,Length: 10 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Libyan Diversion,Joel C. Rosenberg,Length: 11 hrs and 13 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Lost Hero,Rick Riordan,Length: 16 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
So Many Steves,"Steve Martin,Adam Gopnik",Length: 2 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Slight Edge,Jeff Olson,Length: 9 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
Them,Whitley Strieber,Length: 10 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
The DNA Way,Kashif Khan,Length: 5 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Bird Hotel,Joyce Maynard,Length: 12 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Path of Least Resistance,Robert Fritz,Length: 7 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Spell Thief,J Pal,Length: 14 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
Everybody Hates Death Knights,"Crunch Berries,Mike Leon",Length: 11 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Foreign and Domestic,Scott Blade,Length: 8 hrs and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
Tremendous,"Joey ""Coco"" Diaz",Length: 6 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
Storm Watch,C. J. Box,Length: 9 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ghostly Game,Christine Feehan,Length: 11 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Capitalist Punishment,Vivek Ramaswamy,Length: 7 hrs,Scrapy/2.9.0 (+https://scrapy.org)
The Risk,S.T. Abby,Length: 3 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
Let This Radicalize You,"Kelly Hayes,Mariame Kaba",Length: 10 hrs and 42 mins,Scrapy/2.9.0 (+https://scrapy.org)
Who Cries for the Lost,C.S. Harris,Length: 11 hrs,Scrapy/2.9.0 (+https://scrapy.org)
The Path of Ascension 3,C. Mantis,Length: 22 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Fine Print,Lauren Asher,Length: 11 hrs and 8 mins,Scrapy/2.9.0 (+https://scrapy.org)
Disarmed,Mark W. Smith,Length: 3 hrs and 34 mins,Scrapy/2.9.0 (+https://scrapy.org)
Bonded by Thorns,Elizabeth Helen,Length: 10 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 20 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Yellowface,R. F. Kuang,Length: 8 hrs and 39 mins,Scrapy/2.9.0 (+https://scrapy.org)
Question and Answer: What Makes Us Healthy?,Bettye Fields Pearl,Length: 3 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Stalking the Wild Pendulum,Itzhak Bentov,Length: 5 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Nameless,Adrian J. Smith,Length: 48 hrs and 23 mins,Scrapy/2.9.0 (+https://scrapy.org)
Beyond Happiness,Dr. Jennifer Guttman,Length: 6 hrs and 27 mins,Scrapy/2.9.0 (+https://scrapy.org)
Serenity in the Storm,Kayleigh McEnany,Length: 7 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Last Honest Man,"James Risen,Thomas Risen - contributor",Length: 15 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
Cadaver 1,Nick Clausen,Length: 6 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
When Race Trumps Merit,Heather Mac Donald,Length: 9 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Last Ranger,J.D.L. Rosell,Length: 16 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Daddy Diaries,Andy Cohen,Length: 10 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Temporary Wife: Luca and Valentina's Story,Catharina Maura,Length: 11 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
Champagne Venom,Nicole Fox,Length: 13 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
Birnam Wood,Eleanor Catton,Length: 12 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,Length: 3 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
Brute Force,Scott Meyer,Length: 9 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
Harold,Steven Wright,Length: 5 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Well-Lived Life,"Gladys McGarey MD,Dr. Mark Hyman - foreword",Length: 8 hrs and 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
